"Index";"BTC-USD.Open";"BTC-USD.High";"BTC-USD.Low";"BTC-USD.Close";"BTC-USD.Volume";"BTC-USD.Adjusted"
"2017-02-17";1026.119995;1053.170044;1025.640015;1046.209961;136474000;1046.209961
"2017-02-18";1049.209961;1061.099976;1046.959961;1054.420044;99073504;1054.420044
"2017-02-19";1054.76001;1056.810059;1043.459961;1047.869995;77423296;1047.869995
"2017-02-20";1048.689941;1080.48999;1041.689941;1079.97998;109478000;1079.97998
"2017-02-21";1079.280029;1117.25;1076.930054;1115.300049;186868992;1115.300049
"2017-02-22";1114.800049;1125.390015;1100.550049;1117.439941;136100000;1117.439941
"2017-02-23";1117.27002;1176.619995;1116.959961;1166.719971;189454000;1166.719971
"2017-02-24";1172.709961;1200.390015;1131.959961;1173.680054;330759008;1173.680054
"2017-02-25";1170.410034;1174.849976;1124.589966;1143.839966;139960992;1143.839966
"2017-02-26";1144.27002;1167.469971;1130.199951;1165.199951;116486000;1165.199951
"2017-02-27";1163.780029;1181.97998;1163.380005;1179.969971;131570000;1179.969971
"2017-02-28";1180.719971;1193.25;1171.819946;1179.969971;184956000;1179.969971
"2017-03-01";1180.040039;1222.5;1179.689941;1222.5;229056992;1222.5
"2017-03-02";1224.680054;1262.130005;1215.619995;1251.01001;368275008;1251.01001
"2017-03-03";1250.709961;1280.310059;1250.709961;1274.98999;315739008;1274.98999
"2017-03-04";1277.430054;1279.400024;1230.51001;1255.150024;183270000;1255.150024
"2017-03-05";1254.290039;1267.290039;1238.060059;1267.119995;134127000;1267.119995
"2017-03-06";1267.469971;1276;1264.599976;1272.829956;153656992;1272.829956
"2017-03-07";1273.209961;1275.550049;1204.800049;1223.540039;291256000;1223.540039
"2017-03-08";1223.22998;1232.160034;1148.079956;1150;332603008;1150
"2017-03-09";1150.349976;1197.459961;1141.22998;1188.48999;212283008;1188.48999
"2017-03-10";1189.359985;1270.469971;1077.25;1116.719971;563795968;1116.719971
"2017-03-11";1116.319946;1193.829956;1116.319946;1175.829956;283320000;1175.829956
"2017-03-12";1176.619995;1226.97998;1175.359985;1221.380005;227176000;1221.380005
"2017-03-13";1221.780029;1237.369995;1217.030029;1231.920044;380276992;1231.920044
"2017-03-14";1232.160034;1244.810059;1220.719971;1240;245306000;1240
"2017-03-15";1240.160034;1251.609985;1239.75;1249.609985;297804992;1249.609985
